claim_id,claim_text,evidential_status,source_id,locator,quantity_type,value,units,construct,system,transferable,notes
C001,Capture-SELEX isolate 1d04 binds glutamate with Kd 12 µM in the indexed abstract.,primary-source-supported,S001,PubMed abstract,Kd_molecular,12,µM,1d04 (not glu1),Capture-SELEX / complex medium,no,VoR closed. Do not transfer onto glu1 or Hu Glu-apt.
C002,Truncated surface-bound glu1 E-AB reports LOD 0.0013 pM by ACV in the indexed abstract.,primary-source-supported,S001,PubMed abstract,sensor_LOD,0.0013,pM,glu1 Fc-thiol-MCH,gold E-AB,no,Different construct from 1d04. Matrix of LOD vs serum selectivity not separable from abstract.
C003,Kd and LOD in Wu 2022 are not interchangeable affinity numbers.,hypothesis,S001,abstract construct split,,,,1d04 vs glu1,glutamate aptasensor paper,no,Load-bearing interpretation. Confirmed as construct split by citation auditor.
C004,Hu 2025 glutamate MEA channel LOD is 32 pM in PBS and 51.5 pM in 50% serum.,primary-source-supported,S002,Fig. 4h; section 3.4,sensor_LOD,32 (PBS); 51.5 (50% serum),pM,Glu-apt on AuED-MEA,ACV multiplex MEA,no,Double-extracted from OA PDF. Not Wu 0.0013 pM.
C005,"Hu 2025 glutamate electrochemical apparent Kd is 1.8 nM (Langmuir-Freundlich), distinct from cited 12 µM solution value.",primary-source-supported,S002,section 3.2,EC50,1.8,nM,surface Glu-apt,PBS ACV,no,Authors note 2D confinement. Not solution Kd.
C006,Hu 2025 glutamate assay uses 15 min incubation before ACV.,primary-source-supported,S002,section 3.2,measurement_time,15,min,Glu-apt,MEA ACV,no,Cannot support millisecond neurotransmission.
C007,No glutamate aptamer kon/koff were found in inspected glutamate sensor papers.,unresolved,S001,Round 2 search of glutamate sensor sources,kon,,,glutamate DNA aptamers,E-AB / SPR / ITC,no,"Absence of evidence across S001/S002/S010/S021. Tobramycin IPA and mixed-aptamer ITC must not be substituted. source_id S001 is the primary glutamate aptamer paper searched, not a kon measurement."
C008,"Surface-bound tobramycin aptamer IPA: kon 3.5e4 M^-1 s^-1, koff 1.39 s^-1, Kd,kinetic 41±11 µM.",primary-source-supported,S004,Fig. 3 PMC13101946,kon,3.5e4,M^-1 s^-1,tobramycin parent aptamer,E-AB IPA tris buffer,no,Not glutamate. Shows IPA can measure surface kon/koff when mass transport is controlled.
C009,IPA interrogation can be 2 ms; that clock is measurement_time not binding koff.,primary-source-supported,S004,Methods,measurement_time,2,ms,tobramycin E-AB,IPA,no,Do not equate 2 ms interrogation with synaptic 1.2 ms cleft clearance.
C010,Small-molecule aptamer ITC survey: both kon and koff change with Kd (kon 2e5 to 96 M^-1 s^-1; koff 1.03e-3 to 0.012 s^-1 over Kd 28 nM to 864 µM).,primary-source-supported,S003,Europe PMC abstract,kon,2e5 to 96,M^-1 s^-1,various DNA aptamers,solution ITC,no,Abstract only; VoR closed. Not glutamate. Per-construct tables not inspected.
C011,Inferred peak cleft glutamate 1.1 mM decaying with tau 1.2 ms at cultured hippocampal synapses.,primary-source-supported,S049,PubMed abstract,biological_concentration_range,1.1,mM,not aptamer,cultured hippocampal synapses,unknown,Kinetic inference not chemical assay. VoR closed.
C012,Ambient extracellular glutamate in hippocampal slice is about 25 nM by tonic NMDAR current.,primary-source-supported,S050,abstract; discussion,biological_concentration_range,25,nM,not aptamer,acute hippocampal slice,no,Auditor: not an extrasynaptic-only measurement. Contrasts cited dialysis 1-4 µM.
C013,"A 1:1 Langmuir isotherm spans 81-fold between 10% and 90% occupancy (c10 = Kd/9, c90 = 9 Kd), independent of Kd.",review-supported,S030,Rousseau 2023 PMC10750225,analytical_working_range,81,fold (10-90% occupancy),generic E-AB Langmuir,perspective,unknown,"Theoretical Langmuir 10–90% identity as stated by Rousseau. The withdrawn overlay that one Kd cannot cover 25 nM tonic and 1.1 mM cleft is not this claim; those concentrations are C012/C011, not measured in Rousseau, and are not transferred here."
C014,Xiao 2025 glutamate SPR Kd is 293 nM while FET practical LOD is 10 fM in 0.1x PBS.,primary-source-supported,S021,Fig. 3; SPR paragraph,Kd_molecular,293,nM,glutamate aptamer (SI sequence),SPR vs CNT FET,no,Buffer is 0.1x PBS. Response stabilize 200 s. Not in vivo.
C015,DNA tetrahedron display of Apt48 increased N-protein fiber signal 2-2.5 fold and halved apparent fiber Kd vs Apt48 alone.,primary-source-supported,S006,Fig. 4,signal_gain,2 to 2.5,fold,DNT-Apt48 vs Apt48,TFBG-SPR N-protein,no,Interface evidence. Not glutamate.
C016,"InstructNA generated some stronger SPR binders than top-frequency HT-SELEX clones for LOX1/CXCL5, but most generated sequences were not strong binders.",primary-source-supported,S007,Fig. 2,Kd_molecular,12.9 (best G1L),nM,InstructNA G1L,SPR protein targets,no,Hypothesis-generating for glutamate. Not a glutamate aptamer.
C017,Predicted aptamer structures and docking scores failed to recover experimental theophylline vs caffeine selectivity.,computational illustration,S046,full text,,,,theophylline DNA aptamer models,docking benchmark,no,Primary computational benchmark vs crystals; experimental selectivity is cited not remeasured.
C018,E-AB packing density and SAM chemistry change signal gain and apparent Kd (cocaine/thrombin).,primary-source-supported,S033,"Figs. 3-4, 7",signal_gain,60 to 200,%,cocaine E-AB,ACV 1x SSC,no,Not glutamate. Immobilization is not a null operation.
C019,"Park 2023 table row labeled Glutamate FET is Plasmodium falciparum GDH (Singh 2019 PMID 30308419), not neurotransmitter glutamate.",primary-source-supported,S023,Table 1 vs ref 59,,,,review table error,Biosensors 2023 review,no,Citation auditor: supports_claim=no for using Park as Glu NT sensor evidence.
C020,No verified in vivo glutamate aptamer sensor among Round 1-2 sources; in vivo aptamer FETs demonstrated for serotonin and dopamine.,unresolved,S018,Zhao 2021; Wu Nano Lett 2022,,,,serotonin/dopamine FETs,in vivo,no,"Scope limit not a measured glutamate negative result. S066 is in vitro mouse retina, not in vivo. Serotonin/dopamine FETs remain the in vivo aptamer examples in this ledger."
